Area,Date,Country,New Cases,New Deaths,Public Outdoor Gathering Person Limit,Public Indoor Gathering Person Limit,Private Outdoor Gathering Person Limit,Private Indoor Gathering Person Limit,Public Outdoor Household Limit,Public Indoor Household Limit,Private Outdoor Household Limit,Private Indoor Household Limit,Mandatory Mask Wearing,Some Face-to-Face Businesses Closed,Gastronomy Closed,Leisure Venues Closed,Retail Closed,All Face-to-Face Businesses Closed,Curfew,Primary Schools Closed,Secondary Schools Closed,Universities Away
Zaanstreek-Waterland,01/08/2020,Netherlands,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,02/08/2020,Netherlands,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,03/08/2020,Netherlands,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,04/08/2020,Netherlands,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,05/08/2020,Netherlands,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,06/08/2020,Netherlands,11,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,07/08/2020,Netherlands,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,08/08/2020,Netherlands,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,09/08/2020,Netherlands,22,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,10/08/2020,Netherlands,12,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,11/08/2020,Netherlands,21,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,12/08/2020,Netherlands,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,13/08/2020,Netherlands,8,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,14/08/2020,Netherlands,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,15/08/2020,Netherlands,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,16/08/2020,Netherlands,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1
Zaanstreek-Waterland,17/08/2020,Netherlands,19,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,18/08/2020,Netherlands,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,19/08/2020,Netherlands,10,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,20/08/2020,Netherlands,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,21/08/2020,Netherlands,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,22/08/2020,Netherlands,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,23/08/2020,Netherlands,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,24/08/2020,Netherlands,14,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,25/08/2020,Netherlands,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,26/08/2020,Netherlands,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,27/08/2020,Netherlands,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,28/08/2020,Netherlands,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,29/08/2020,Netherlands,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,30/08/2020,Netherlands,8,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,31/08/2020,Netherlands,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Zaanstreek-Waterland,01/09/2020,Netherlands,12,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,02/09/2020,Netherlands,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,03/09/2020,Netherlands,14,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,04/09/2020,Netherlands,10,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,05/09/2020,Netherlands,13,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,06/09/2020,Netherlands,11,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,07/09/2020,Netherlands,14,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,08/09/2020,Netherlands,21,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,09/09/2020,Netherlands,19,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,10/09/2020,Netherlands,13,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,11/09/2020,Netherlands,18,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,12/09/2020,Netherlands,33,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,13/09/2020,Netherlands,20,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,14/09/2020,Netherlands,29,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,15/09/2020,Netherlands,41,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,16/09/2020,Netherlands,31,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,17/09/2020,Netherlands,17,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,18/09/2020,Netherlands,51,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,19/09/2020,Netherlands,29,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,20/09/2020,Netherlands,21,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,21/09/2020,Netherlands,35,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,22/09/2020,Netherlands,37,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,23/09/2020,Netherlands,44,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,24/09/2020,Netherlands,60,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,25/09/2020,Netherlands,31,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Zaanstreek-Waterland,26/09/2020,Netherlands,75,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
