date,confirm,region
2020-08-01,2,Lincolnshire
2020-08-02,3,Lincolnshire
2020-08-03,7,Lincolnshire
2020-08-04,8,Lincolnshire
2020-08-05,9,Lincolnshire
2020-08-06,5,Lincolnshire
2020-08-07,6,Lincolnshire
2020-08-08,3,Lincolnshire
2020-08-09,3,Lincolnshire
2020-08-10,6,Lincolnshire
2020-08-11,2,Lincolnshire
2020-08-12,10,Lincolnshire
2020-08-13,9,Lincolnshire
2020-08-14,5,Lincolnshire
2020-08-15,3,Lincolnshire
2020-08-16,1,Lincolnshire
2020-08-17,10,Lincolnshire
2020-08-18,3,Lincolnshire
2020-08-19,6,Lincolnshire
2020-08-20,2,Lincolnshire
2020-08-21,3,Lincolnshire
2020-08-22,0,Lincolnshire
2020-08-23,2,Lincolnshire
2020-08-24,2,Lincolnshire
2020-08-25,3,Lincolnshire
2020-08-26,4,Lincolnshire
2020-08-27,9,Lincolnshire
2020-08-28,10,Lincolnshire
2020-08-29,2,Lincolnshire
2020-08-30,5,Lincolnshire
2020-08-31,12,Lincolnshire
2020-09-01,7,Lincolnshire
2020-09-02,32,Lincolnshire
2020-09-03,31,Lincolnshire
2020-09-04,20,Lincolnshire
2020-09-05,17,Lincolnshire
2020-09-06,9,Lincolnshire
2020-09-07,21,Lincolnshire
2020-09-08,43,Lincolnshire
2020-09-09,22,Lincolnshire
2020-09-10,15,Lincolnshire
2020-09-11,16,Lincolnshire
2020-09-12,10,Lincolnshire
2020-09-13,12,Lincolnshire
2020-09-14,19,Lincolnshire
2020-09-15,12,Lincolnshire
2020-09-16,31,Lincolnshire
2020-09-17,21,Lincolnshire
2020-09-18,19,Lincolnshire
2020-09-19,26,Lincolnshire
2020-09-20,22,Lincolnshire
2020-09-21,18,Lincolnshire
2020-09-22,22,Lincolnshire
2020-09-23,29,Lincolnshire
2020-09-24,25,Lincolnshire
2020-09-25,38,Lincolnshire
2020-09-26,23,Lincolnshire
2020-09-27,26,Lincolnshire
2020-09-28,43,Lincolnshire
2020-09-29,47,Lincolnshire
2020-09-30,56,Lincolnshire
2020-10-01,68,Lincolnshire
2020-10-02,80,Lincolnshire
2020-10-03,66,Lincolnshire
2020-10-04,50,Lincolnshire
2020-10-05,64,Lincolnshire
2020-10-06,76,Lincolnshire
2020-10-07,100,Lincolnshire
2020-10-08,105,Lincolnshire
2020-10-09,119,Lincolnshire
2020-10-10,84,Lincolnshire
2020-10-11,73,Lincolnshire
2020-10-12,112,Lincolnshire
2020-10-13,144,Lincolnshire
2020-10-14,121,Lincolnshire
2020-10-15,123,Lincolnshire
2020-10-16,92,Lincolnshire
2020-10-17,103,Lincolnshire
2020-10-18,86,Lincolnshire
2020-10-19,247,Lincolnshire
2020-10-20,213,Lincolnshire
2020-10-21,197,Lincolnshire
2020-10-22,252,Lincolnshire
2020-10-23,194,Lincolnshire
2020-10-24,182,Lincolnshire
2020-10-25,154,Lincolnshire
2020-10-26,275,Lincolnshire
2020-10-27,194,Lincolnshire
2020-10-28,221,Lincolnshire
2020-10-29,240,Lincolnshire
2020-10-30,234,Lincolnshire
2020-10-31,169,Lincolnshire
2020-11-01,124,Lincolnshire
2020-11-02,389,Lincolnshire
2020-11-03,284,Lincolnshire
2020-11-04,305,Lincolnshire
2020-11-05,302,Lincolnshire
2020-11-06,353,Lincolnshire
2020-11-07,229,Lincolnshire
2020-11-08,330,Lincolnshire
2020-11-09,503,Lincolnshire
2020-11-10,473,Lincolnshire
2020-11-11,451,Lincolnshire
2020-11-12,379,Lincolnshire
2020-11-13,387,Lincolnshire
2020-11-14,245,Lincolnshire
2020-11-15,218,Lincolnshire
2020-11-16,483,Lincolnshire
2020-11-17,402,Lincolnshire
2020-11-18,284,Lincolnshire
2020-11-19,313,Lincolnshire
2020-11-20,258,Lincolnshire
2020-11-21,181,Lincolnshire
2020-11-22,164,Lincolnshire
2020-11-23,394,Lincolnshire
2020-11-24,370,Lincolnshire
2020-11-25,287,Lincolnshire
2020-11-26,250,Lincolnshire
2020-11-27,302,Lincolnshire
2020-11-28,224,Lincolnshire
2020-11-29,169,Lincolnshire
2020-11-30,346,Lincolnshire
2020-12-01,295,Lincolnshire
2020-12-02,323,Lincolnshire
2020-12-03,246,Lincolnshire
2020-12-04,267,Lincolnshire
2020-12-05,183,Lincolnshire
2020-12-06,181,Lincolnshire
2020-12-07,422,Lincolnshire
2020-12-08,298,Lincolnshire
2020-12-09,310,Lincolnshire
2020-12-10,294,Lincolnshire
2020-12-11,325,Lincolnshire
2020-12-12,183,Lincolnshire
2020-12-13,171,Lincolnshire
2020-12-14,430,Lincolnshire
2020-12-15,301,Lincolnshire
2020-12-16,314,Lincolnshire
2020-12-17,263,Lincolnshire
2020-12-18,287,Lincolnshire
2020-12-19,182,Lincolnshire
2020-12-20,328,Lincolnshire
2020-12-21,383,Lincolnshire
2020-12-22,351,Lincolnshire
2020-12-23,344,Lincolnshire
2020-12-24,201,Lincolnshire
2020-12-25,118,Lincolnshire
2020-12-26,242,Lincolnshire
2020-12-27,321,Lincolnshire
2020-12-28,273,Lincolnshire
2020-12-29,515,Lincolnshire
2020-12-30,410,Lincolnshire
2020-12-31,275,Lincolnshire
2021-01-01,175,Lincolnshire
2021-01-02,375,Lincolnshire
2020-08-01,14,Greater Manchester South West
2020-08-02,15,Greater Manchester South West
2020-08-03,24,Greater Manchester South West
2020-08-04,17,Greater Manchester South West
2020-08-05,19,Greater Manchester South West
2020-08-06,30,Greater Manchester South West
2020-08-07,10,Greater Manchester South West
2020-08-08,14,Greater Manchester South West
2020-08-09,8,Greater Manchester South West
2020-08-10,43,Greater Manchester South West
2020-08-11,20,Greater Manchester South West
2020-08-12,26,Greater Manchester South West
2020-08-13,25,Greater Manchester South West
2020-08-14,24,Greater Manchester South West
2020-08-15,13,Greater Manchester South West
2020-08-16,6,Greater Manchester South West
2020-08-17,25,Greater Manchester South West
2020-08-18,14,Greater Manchester South West
2020-08-19,24,Greater Manchester South West
2020-08-20,18,Greater Manchester South West
2020-08-21,18,Greater Manchester South West
2020-08-22,12,Greater Manchester South West
2020-08-23,8,Greater Manchester South West
2020-08-24,26,Greater Manchester South West
2020-08-25,30,Greater Manchester South West
2020-08-26,29,Greater Manchester South West
2020-08-27,30,Greater Manchester South West
2020-08-28,53,Greater Manchester South West
2020-08-29,13,Greater Manchester South West
2020-08-30,20,Greater Manchester South West
2020-08-31,19,Greater Manchester South West
2020-09-01,39,Greater Manchester South West
