date,confirm,region
2020-08-01,5,Zaanstreek-Waterland
2020-08-02,7,Zaanstreek-Waterland
2020-08-03,4,Zaanstreek-Waterland
2020-08-04,6,Zaanstreek-Waterland
2020-08-05,3,Zaanstreek-Waterland
2020-08-06,11,Zaanstreek-Waterland
2020-08-07,5,Zaanstreek-Waterland
2020-08-08,5,Zaanstreek-Waterland
2020-08-09,22,Zaanstreek-Waterland
2020-08-10,12,Zaanstreek-Waterland
2020-08-11,21,Zaanstreek-Waterland
2020-08-12,9,Zaanstreek-Waterland
2020-08-13,8,Zaanstreek-Waterland
2020-08-14,9,Zaanstreek-Waterland
2020-08-15,7,Zaanstreek-Waterland
2020-08-16,6,Zaanstreek-Waterland
2020-08-17,19,Zaanstreek-Waterland
2020-08-18,7,Zaanstreek-Waterland
2020-08-19,10,Zaanstreek-Waterland
2020-08-20,7,Zaanstreek-Waterland
2020-08-21,6,Zaanstreek-Waterland
2020-08-22,7,Zaanstreek-Waterland
2020-08-23,6,Zaanstreek-Waterland
2020-08-24,14,Zaanstreek-Waterland
2020-08-25,2,Zaanstreek-Waterland
2020-08-26,5,Zaanstreek-Waterland
2020-08-27,6,Zaanstreek-Waterland
2020-08-28,6,Zaanstreek-Waterland
2020-08-29,9,Zaanstreek-Waterland
2020-08-30,8,Zaanstreek-Waterland
2020-08-31,3,Zaanstreek-Waterland
2020-09-01,12,Zaanstreek-Waterland
2020-09-02,7,Zaanstreek-Waterland
2020-09-03,14,Zaanstreek-Waterland
2020-09-04,10,Zaanstreek-Waterland
2020-09-05,13,Zaanstreek-Waterland
2020-09-06,11,Zaanstreek-Waterland
2020-09-07,14,Zaanstreek-Waterland
2020-09-08,21,Zaanstreek-Waterland
2020-09-09,19,Zaanstreek-Waterland
2020-09-10,13,Zaanstreek-Waterland
2020-09-11,18,Zaanstreek-Waterland
2020-09-12,33,Zaanstreek-Waterland
2020-09-13,20,Zaanstreek-Waterland
2020-09-14,29,Zaanstreek-Waterland
2020-09-15,41,Zaanstreek-Waterland
2020-09-16,31,Zaanstreek-Waterland
2020-09-17,17,Zaanstreek-Waterland
2020-09-18,51,Zaanstreek-Waterland
2020-09-19,29,Zaanstreek-Waterland
2020-09-20,21,Zaanstreek-Waterland
2020-09-21,35,Zaanstreek-Waterland
2020-09-22,37,Zaanstreek-Waterland
2020-09-23,44,Zaanstreek-Waterland
2020-09-24,60,Zaanstreek-Waterland
2020-09-25,31,Zaanstreek-Waterland
2020-09-26,75,Zaanstreek-Waterland
2020-09-27,65,Zaanstreek-Waterland
2020-09-28,58,Zaanstreek-Waterland
2020-09-29,49,Zaanstreek-Waterland
2020-09-30,69,Zaanstreek-Waterland
2020-10-01,75,Zaanstreek-Waterland
2020-10-02,89,Zaanstreek-Waterland
2020-10-03,90,Zaanstreek-Waterland
2020-10-04,67,Zaanstreek-Waterland
2020-10-05,82,Zaanstreek-Waterland
2020-10-06,81,Zaanstreek-Waterland
2020-10-07,107,Zaanstreek-Waterland
2020-10-08,153,Zaanstreek-Waterland
2020-10-09,155,Zaanstreek-Waterland
2020-10-10,129,Zaanstreek-Waterland
2020-10-11,160,Zaanstreek-Waterland
2020-10-12,167,Zaanstreek-Waterland
2020-10-13,136,Zaanstreek-Waterland
2020-10-14,117,Zaanstreek-Waterland
2020-10-15,138,Zaanstreek-Waterland
2020-10-16,261,Zaanstreek-Waterland
2020-10-17,82,Zaanstreek-Waterland
2020-10-18,156,Zaanstreek-Waterland
2020-10-19,286,Zaanstreek-Waterland
2020-10-20,228,Zaanstreek-Waterland
2020-10-21,337,Zaanstreek-Waterland
2020-10-22,127,Zaanstreek-Waterland
2020-10-23,236,Zaanstreek-Waterland
2020-10-24,114,Zaanstreek-Waterland
2020-10-25,362,Zaanstreek-Waterland
2020-10-26,147,Zaanstreek-Waterland
2020-10-27,233,Zaanstreek-Waterland
